,candidate,p_adfuller,halflife,peaks,p_coin
8726,"('CNBKA', 'IRMD')",3.3998661494811936e-07,2.9574002364735543,12,3.0650758802493903e-07
14486,"('MRBK', 'PNC')",3.757029244720362e-07,6.228924578676717,12,2.6968223522269205e-06
99296,"('AWF', 'CBZ')",1.0026067728696904e-06,3.0772827011535426,12,0.00022042142433040927
87580,"('MHF', 'TRC')",1.5581021876183848e-06,3.1722910648754565,12,0.00016860090843124424
16461,"('ANPC', 'UTSI')",1.9850429104878898e-06,3.1504205533974554,12,4.205044058948674e-06
23546,"('CELP', 'PLIN')",3.2202513154074796e-06,2.880238134129719,12,1.0976355715384545e-05
24615,"('FPAY', 'HEXO')",4.764375439757914e-06,3.368271991088538,12,1.2167580699500115e-05
40296,"('GLMD', 'YMTX')",7.332559505772421e-06,3.4047778905253803,12,3.658810418203897e-05
80181,"('INTU', 'NUE')",1.2943228890597773e-05,5.245153915034394,12,0.0001408396163091196
24917,"('AAPL', 'WILC')",1.4539969859274003e-05,3.552190386672695,12,1.251762748886343e-05
40214,"('ANIK', 'PCM')",1.672183916202293e-05,3.5840512616933657,12,3.6420536553465415e-05
56635,"('ANIK', 'ETW')",4.7346161909961895e-05,3.982981570327338,12,7.394512866074543e-05
104011,"('CLPS', 'HCM')",4.8342388481597354e-05,3.460543597573572,13,0.00024250797528404232
70075,"('ANIK', 'GLU')",6.426573453949162e-05,3.78558838638656,12,0.00011128922966440185
66020,"('EGY', 'M')",6.783431183066576e-05,5.140420918755911,12,9.943560336548602e-05
79225,"('ANAT', 'HPE')",7.182668040683594e-05,4.07097370288512,12,0.00013850961447427264
307385,"('OIIM', 'OPTT')",7.509622965114816e-05,5.627342781347193,12,0.0019370178655337118
20696,"('AUMN', 'CREE')",0.00012117715571159405,4.674494949859074,12,7.901485791377185e-06
126587,"('IVC', 'MAGS')",0.00012643691190449986,4.581620288658792,12,0.00036946252883467417
74422,"('ANIK', 'IAF')",0.00012920045926409892,4.265784870684708,12,0.00012432351147030962
37419,"('GNK', 'TRT')",0.00021756995949816265,3.651048386003653,12,3.091106775910212e-05
105356,"('NSYS', 'TME')",0.0002579459248562949,4.690180778526368,12,0.00024921970407260817
190505,"('ASYS', 'FARO')",0.0002981696119337626,4.760476269465356,12,0.0008094743196475483
543479,"('IONS', 'ZIOP')",0.0003113303012625652,3.413447619489848,12,0.005310107080217513
118387,"('ESCA', 'FSM')",0.00034484723172778953,4.960839917171861,12,0.00032129754671617836
145554,"('FLIC', 'PBHC')",0.0004839714235663436,4.217253716693758,12,0.0004891323216087585
220824,"('BCC', 'MDLA')",0.0006509768563619016,4.842849629410405,12,0.0010552657180176652
57356,"('RGP', 'WRB')",0.0006765372893584824,5.574490547292347,12,7.573805670427384e-05
330477,"('F', 'RFL')",0.0006981225883188916,5.199049086658084,12,0.0022142560840795735
123429,"('NID', 'TRC')",0.0007118587432090587,3.182973492069148,12,0.0003511937254376199
639620,"('JMM', 'TRC')",0.0013794656317126066,5.1558723337846395,12,0.0069788181808141565
719325,"('MKC', 'SNOA')",0.002272127390751146,4.423294430922834,12,0.008464698338366144
349242,"('HSC', 'OTIC')",0.00251984589595762,6.861752803575445,12,0.002449746034698637
212574,"('SRRA', 'TSEM')",0.003449343147358046,6.0919678258347245,12,0.0009859078983557048
119743,"('DVD', 'MOV')",0.0037613932307475647,4.494093619080773,12,0.00032891786574369995
369773,"('MBIO', 'TGP')",0.004560642385791167,6.482779089821691,12,0.0027131884819342304
339956,"('SBI', 'TRC')",0.00461855608703277,3.7294186873172315,12,0.002332961564335613
740015,"('IHD', 'TTMI')",0.007126599050608499,3.484639017783368,12,0.00886135573168348
