Symbol,Sector
A,Capital Goods
AA,Basic Industries
AACG,Consumer Services
AACQ,Finance
AACQU,Finance
AACQW,Finance
AAIC,Consumer Services
AAIC^B,
AAIC^C,
AAL,Transportation
AAMC,Finance
AAME,Finance
AAN,Technology
AAOI,Technology
AAON,Capital Goods
AAP,Consumer Services
AAPL,Technology
AAT,Consumer Services
AAU,Basic Industries
AAWW,Transportation
AB,Finance
ABB,Consumer Durables
ABBV,Health Care
ABC,Health Care
ABCB,Finance
ABCL,Health Care
ABCM,Health Care
ABEO,Health Care
ABEV,Consumer Non-Durables
ABG,Consumer Durables
ABGI,Finance
ABIO,Health Care
ABM,Finance
ABMD,Health Care
ABNB,Finance
ABR,Consumer Services
ABR^A,
ABR^B,
ABR^C,
ABST,Technology
ABT,Health Care
ABTX,Finance
ABUS,Health Care
AC,Finance
ACA,Capital Goods
ACAC,Finance
ACACU,Finance
ACACW,Finance
ACAD,Health Care
ACB,Consumer Durables
ACBI,Finance
ACC,Consumer Services
ACCD,
ACCO,Consumer Durables
ACEL,Consumer Services
ACER,Health Care
ACET,Health Care
ACEV,Technology
ACEVU,Technology
ACEVW,Technology
ACGL,Finance
ACGLO,Finance
ACGLP,Finance
ACH,Basic Industries
ACHC,Health Care
ACHV,Health Care
ACI,Consumer Services
ACIA,Technology
ACIC,Finance
ACIU,Health Care
ACIW,Technology
ACKIT,Finance
ACKIU,Finance
ACKIW,Finance
ACLS,Technology
ACM,Consumer Services
ACMR,Technology
ACN,Miscellaneous
ACNB,Finance
ACND,Finance
ACOR,Health Care
ACP,
ACR,Consumer Services
ACR^C,
ACRE,Consumer Services
ACRS,Health Care
ACRX,Health Care
ACST,Health Care
ACTC,Capital Goods
ACTCU,Capital Goods
ACTCW,Capital Goods
ACTG,Miscellaneous
ACU,Capital Goods
ACV,
ACY,Technology
ADAG,Health Care
ADAP,Health Care
ADBE,Technology
ADC,Consumer Services
ADCT,Health Care
ADERU,Finance
ADES,Basic Industries
ADFI,
ADI,Technology
ADIL,Health Care
ADILW,Health Care
ADM,Consumer Non-Durables
ADMA,Health Care
ADME,
ADMP,Health Care
ADMS,Health Care
ADN,Miscellaneous
ADNT,Capital Goods
ADNWW,Miscellaneous
ADOC,Finance
ADOCR,Finance
ADOCW,Finance
ADP,Technology
ADPT,Health Care
ADS,Miscellaneous
ADSK,Technology
ADT,Consumer Services
ADTN,Public Utilities
ADTX,Health Care
ADUS,Health Care
ADV,Miscellaneous
ADVM,Health Care
ADVWW,Miscellaneous
ADX,
ADXN,Health Care
ADXS,Health Care
AE,Energy
AEACU,Finance
AEB,Finance
AEE,Public Utilities
AEF,
AEFC,Finance
AEG,Finance
AEGN,Basic Industries
AEHL,Capital Goods
AEHR,Capital Goods
AEI,Finance
AEIS,Capital Goods
AEL,Finance
AEL^A,
AEL^B,
AEM,Basic Industries
AEMD,Health Care
AENZ,Basic Industries
AEO,Consumer Services
AEP,Public Utilities
AEPPL,Public Utilities
AEPPZ,Public Utilities
AER,Technology
AERI,Health Care
AES,Basic Industries
AESE,Consumer Services
AESR,
AEY,Consumer Services
AEYE,Technology
AEZS,Health Care
AFB,
AFBI,Finance
AFC,
AFG,Finance
AFGB,Finance
AFGC,Finance
AFGD,Finance
AFGE,Finance
AFI,Consumer Non-Durables
AFIB,Health Care
AFIN,Consumer Services
AFINO,Consumer Services
AFINP,Consumer Services
AFL,Finance
AFMD,Health Care
AFRM,Miscellaneous
AFT,
AFYA,Consumer Services
AG,Basic Industries
AGBA,Finance
AGBAR,Finance
AGBAW,Finance
AGC,Finance
AGCB,Finance
AGCO,Capital Goods
AGCUU,Finance
AGCWW,Finance
AGD,
AGE,Health Care
AGEN,Health Care
AGFS,Basic Industries
AGFY,Consumer Non-Durables
AGI,Basic Industries
AGIO,Health Care
AGLE,Health Care
AGM,Finance
AGM^C,
AGM^D,
AGM^E,
AGM^F,
AGMH,Technology
AGNC,Consumer Services
AGNCM,Consumer Services
AGNCN,Consumer Services
AGNCO,Consumer Services
AGNCP,Consumer Services
AGO,Finance
AGO^B,
AGO^E,
AGO^F,
AGR,Public Utilities
AGRO,Consumer Non-Durables
AGRX,Health Care
AGS,Consumer Durables
AGTC,Health Care
AGX,Basic Industries
AGYS,Technology
AHAC,Finance
AHACU,Finance
AHACW,Finance
AHC,Consumer Services
AHCO,Health Care
AHH,Finance
AHH^A,
AHL^C,
AHL^D,
AHL^E,
AHPI,Health Care
AHT,Consumer Services
AHT^D,
AHT^F,
AHT^G,
AHT^H,
AHT^I,
AI,Technology
AIC,Consumer Services
AIF,
AIG,Finance
AIG^A,
AIH,Health Care
AIHS,Finance
AIKI,Health Care
AIM,Health Care
AIMC,Capital Goods
AIN,Basic Industries
AINC,Consumer Services
AINV,
AIO,
AIR,Capital Goods
AIRC,Consumer Services
AIRG,Technology
AIRI,Capital Goods
AIRT,Transportation
AIRTP,Transportation
AIRTW,Transportation
AIT,Consumer Durables
AIV,Consumer Services
AIW,Consumer Services
AIZ,Finance
AIZN,Finance
AIZP,Finance
AJAX,Finance
AJG,Finance
AJRD,Capital Goods
AJX,Consumer Services
AJXA,Consumer Services
AKAM,Miscellaneous
AKBA,Health Care
AKER,Health Care
AKIC,
AKICU,Finance
AKICW,
AKO/A,
AKO/B,
AKR,Consumer Services
AKRO,Health Care
AKTS,Public Utilities
AKTX,Health Care
AKU,Health Care
AKUS,Health Care
AL,Technology
AL^A,
ALAC,Basic Industries
ALACR,Basic Industries
ALACU,Basic Industries
ALACW,Basic Industries
ALB,Basic Industries
ALBO,Health Care
ALC,Health Care
ALCO,Consumer Non-Durables
ALDX,Health Care
ALE,Public Utilities
ALEC,Health Care
ALEX,Consumer Services
ALG,Capital Goods
ALGM,Technology
ALGN,Health Care
ALGS,Health Care
ALGT,Transportation
ALIM,Health Care
ALIN^A,
ALIN^B,
ALIN^E,
ALJJ,Miscellaneous
ALK,Transportation
ALKS,Health Care
ALL,Finance
ALL^B,
ALL^G,
ALL^H,
ALL^I,
ALLE,Consumer Services
ALLK,Health Care
ALLO,Health Care
ALLT,Technology
ALLY,Finance
ALLY^A,
ALNA,Health Care
ALNY,Health Care
ALOT,Technology
ALP^Q,
ALPN,Health Care
ALRM,Technology
ALRN,Health Care
ALRS,Finance
ALSK,Public Utilities
ALSN,Capital Goods
ALT,Health Care
ALTA,Finance
ALTG,Capital Goods
ALTG^A,
ALTM,Public Utilities
ALTO,Basic Industries
ALTR,Technology
ALTU,Finance
ALTUU,Finance
ALTUW,Finance
ALUS,Finance
ALV,Capital Goods
ALVR,Health Care
ALX,Consumer Services
ALXN,Health Care
ALXO,Health Care
ALYA,Technology
AM,Public Utilities
AMAL,Consumer Non-Durables
AMAT,Technology
AMBA,Technology
AMBC,Finance
AMBO,Consumer Services
AMC,Consumer Services
AMCR,Consumer Durables
AMCX,Consumer Services
AMD,Technology
AME,Capital Goods
AMED,Health Care
AMEH,Consumer Services
AMER,
AMG,Finance
AMGN,Health Care
AMH,Consumer Services
AMH^D,
AMH^E,
AMH^F,
AMH^G,
AMH^H,
AMHC,Finance
AMHCU,Finance
AMHCW,Finance
AMK,Finance
AMKR,Technology
AMN,Technology
AMNB,Finance
AMOT,Capital Goods
AMOV,Public Utilities
AMP,Finance
AMPE,Health Care
AMPG,Capital Goods
AMPGW,Capital Goods
AMPH,Health Care
AMPY,Energy
AMR,Energy
AMRB,Finance
AMRC,Basic Industries
AMRK,Basic Industries
AMRN,Health Care
AMRS,Basic Industries
AMRX,Health Care
AMS,Health Care
AMSC,Consumer Durables
AMSF,Finance
AMST,Technology
AMSWA,Technology
AMT,Consumer Services
AMTB,Finance
AMTBB,Finance
AMTI,Health Care
AMTX,Basic Industries
AMWD,Basic Industries
AMWL,Miscellaneous
AMX,Public Utilities
AMYT,Health Care
AMZN,Consumer Services
AN,Consumer Durables
ANAB,Health Care
ANAT,Finance
ANCN,Health Care
ANDA,Finance
ANDAR,Finance
ANDAU,Finance
ANDAW,Finance
ANDE,Consumer Services
ANET,Technology
ANF,Consumer Services
ANGI,Consumer Services
ANGN,Health Care
ANGO,Health Care
ANH,Consumer Services
ANH^A,
ANH^B,
ANH^C,
ANIK,Health Care
ANIP,Health Care
ANIX,Health Care
ANNX,Health Care
ANPC,Health Care
ANSS,Technology
ANTE,Technology
ANTM,Health Care
ANVS,Health Care
ANY,Technology
AOD,
AON,Finance
AONE,Finance
AOS,Consumer Durables
AOSL,Technology
AOUT,Capital Goods
AP,Capital Goods
APA,Energy
APAM,Finance
APD,Basic Industries
APDN,Consumer Services
APEI,Consumer Services
APEN,Health Care
APG,Basic Industries
APH,Capital Goods
APHA,Consumer Durables
API,Technology
APLE,Consumer Services
APLS,Health Care
APLT,Health Care
APM,Health Care
APO,Finance
APO^A,
APO^B,
APOG,Capital Goods
APOP,Health Care
APOPW,Health Care
APPF,Technology
APPH,Consumer Non-Durables
APPHW,Consumer Non-Durables
APPN,Technology
APPS,Miscellaneous
APR,Health Care
APRE,Health Care
APRN,Consumer Services
APSG,Finance
APT,Health Care
APTO,Health Care
APTS,Consumer Services
APTV,Capital Goods
APTV^A,
APTX,Health Care
APVO,Health Care
APWC,Basic Industries
APXT,Technology
APXTU,Technology
APXTW,Technology
APYX,Health Care
AQB,
AQMS,Basic Industries
AQN,Public Utilities
AQNA,Public Utilities
AQNB,Public Utilities
AQST,Health Care
AQUA,Technology
AR,Energy
ARAV,Health Care
ARAY,Health Care
ARBG,Finance
ARBGU,Finance
ARBGW,Finance
ARC,Consumer Services
ARCB,Transportation
ARCC,
ARCE,Consumer Services
ARCH,Energy
ARCO,Consumer Services
ARCT,Health Care
ARD,Consumer Durables
ARDC,
ARDS,Health Care
ARDX,Health Care
ARE,Consumer Services
AREC,Consumer Services
ARES,Finance
ARES^A,
ARGD,Finance
ARGO,Finance
ARGO^A,
ARGX,Health Care
ARI,Consumer Services
ARKIU,Finance
ARKO,Consumer Non-Durables
ARKOW,Consumer Non-Durables
ARKR,Consumer Services
ARL,Finance
ARLO,Consumer Non-Durables
ARLP,Energy
ARMK,Consumer Services
ARMP,Health Care
ARNA,Health Care
ARNC,
AROC,Public Utilities
AROW,Finance
ARPO,Health Care
ARQT,Health Care
ARR,Consumer Services
ARR^C,
ARRY,Consumer Durables
ARTL,Health Care
ARTLW,Health Care
ARTNA,Public Utilities
ARTW,Capital Goods
ARVN,Health Care
ARW,Technology
ARWR,Health Care
ARYA,Finance
ARYD,
ASA,
ASAN,Technology
ASAQ,Finance
ASAXU,Finance
ASB,Finance
ASB^C,
ASB^D,
ASB^E,
ASB^F,
ASC,Transportation
ASG,
ASGI,
ASGN,Technology
ASH,Consumer Durables
ASIX,Basic Industries
ASLE,Consumer Durables
ASLEW,Consumer Durables
ASLN,Health Care
ASM,Basic Industries
ASMB,Health Care
ASML,Technology
ASND,Health Care
ASO,Consumer Services
ASPCU,Finance
ASPL,Finance
ASPN,Consumer Services
ASPS,Consumer Services
ASPU,Consumer Services
ASR,Transportation
ASRT,Health Care
ASRV,Finance
ASRVP,Finance
ASTC,Capital Goods
ASTE,Capital Goods
ASUR,Technology
ASX,Technology
ASYS,Technology
AT,Energy
ATA,Finance
ATAC,Finance
ATAX,Finance
ATC,Basic Industries
ATCO,Transportation
ATCO^D,
ATCO^E,
ATCO^G,
ATCO^H,
ATCO^I,
ATCX,Consumer Services
ATEC,Health Care
ATEN,Technology
ATEX,Public Utilities
ATGE,Consumer Services
ATH,Finance
ATH^A,
ATH^B,
ATH^C,
ATH^D,
ATHA,Health Care
ATHE,Health Care
ATHM,Technology
ATHX,Health Care
ATI,Basic Industries
ATIF,Consumer Services
ATKR,Miscellaneous
ATLC,Finance
ATLO,Finance
ATNF,Health Care
ATNFW,Health Care
ATNI,Public Utilities
ATNM,Health Care
ATNX,Health Care
ATO,Public Utilities
ATOM,Technology
ATOS,Health Care
ATR,Consumer Non-Durables
ATRA,Health Care
ATRC,Health Care
ATRI,Health Care
ATRO,Capital Goods
ATRS,Health Care
ATSG,Transportation
ATTO,Public Utilities
ATUS,Consumer Services
ATVI,Technology
ATXI,Health Care
AU,Basic Industries
AUB,Finance
AUBAP,Finance
AUBN,Finance
AUDC,Public Utilities
AUMN,Basic Industries
AUPH,Health Care
AUTL,Health Care
AUTO,Technology
AUUD,Technology
AUUDW,Technology
AUVI,Consumer Durables
AUY,Basic Industries
AVA,Public Utilities
AVAL,Finance
AVAN,Finance
AVAV,Capital Goods
AVB,Consumer Services
AVCO,Consumer Services
AVCT,Technology
AVCTW,Technology
AVD,Basic Industries
AVDG,
AVDL,Health Care
AVDR,
AVEO,Health Care
AVGO,Technology
AVGOP,Technology
AVGR,Health Care
AVID,Technology
AVIR,Health Care
AVK,
AVLR,Technology
AVNS,Health Care
AVNT,Basic Industries
AVNW,Technology
AVO,Consumer Non-Durables
AVRO,Health Care
AVT,Technology
AVTR,Capital Goods
AVTR^A,
AVXL,Health Care
AVY,Consumer Durables
AVYA,Public Utilities
AWF,
AWH,Health Care
AWI,Consumer Non-Durables
AWK,Public Utilities
AWP,
AWR,Public Utilities
AWRE,Technology
AWX,Public Utilities
AX,Finance
AXAS,Energy
AXDX,Capital Goods
AXGN,Health Care
AXL,Capital Goods
AXLA,Health Care
AXNX,Health Care
AXO,Finance
AXON,Capital Goods
AXP,Finance
AXR,Consumer Services
AXS,Finance
AXS^E,
AXSM,Health Care
AXTA,Basic Industries
AXTI,Technology
AXU,Basic Industries
AY,Public Utilities
AYI,Consumer Durables
AYLA,Health Care
AYRO,Consumer Services
AYTU,Health Care
AYX,Technology
AZEK,Consumer Non-Durables
AZN,Health Care
AZO,Consumer Services
AZPN,Technology
AZRE,Public Utilities
AZRX,Health Care
AZUL,Transportation
AZYO,Health Care
AZZ,Consumer Durables
B,Capital Goods
BA,Capital Goods
BABA,Miscellaneous
BAC,Finance
BAC^A,
BAC^B,
BAC^E,
BAC^K,
BAC^L,
BAC^M,
BAC^N,
BAC^O,
BAC^P,
BAF,
BAH,Consumer Services
BAK,Basic Industries
BALY,Consumer Services
BAM,Consumer Services
BAMH,Consumer Services
BAMI,Consumer Services
BANC,Finance
BANC^D,
BANC^E,
