Symbol,Name,Last Sale,Net Change,% Change,Market Cap,Country,IPO Year,Volume,Sector,Industry
AAPL,Apple Inc. Common Stock,$125.86,-0.14,-0.111%,2182077612400.00,United States,1980,158273022,Technology,Computer Manufacturing
ADBE,Adobe Inc. Common Stock,$467.80,0.47,0.101%,223935860000.00,United States,1986,4164345,Technology,Computer Software: Prepackaged Software
ADI,Analog Devices Inc. Common Stock,$157.70,-1.54,-0.967%,58254941727.00,United States,,3022283,Technology,Semiconductors
ADP,Automatic Data Processing Inc. Common Stock,$172.065,1.245,0.729%,73633533954.00,United States,,1880684,Technology,EDP Services
ADSK,Autodesk Inc. Common Stock,$290.25,-7.45,-2.503%,63822899221.00,United States,,1487201,Technology,Computer Software: Prepackaged Software
AI,C3.ai Inc. Class A Common Stock,$121.12,-5.10,-4.041%,11609110002.00,,2020,3834552,Technology,Computer Software: Prepackaged Software
AMAT,Applied Materials Inc. Common Stock,$116.14,0.91,0.79%,106577129028.00,United States,1972,9387863,Technology,Semiconductors
AMD,Advanced Micro Devices Inc. Common Stock,$84.74,-0.63,-0.738%,102647662027.00,United States,,49720914,Technology,Semiconductors
ANET,Arista Networks Inc. Common Stock,$287.08,-5.08,-1.739%,21913267977.00,,2014,1409258,Technology,Computer Communications Equipment
ANSS,ANSYS Inc. Common Stock,$375.56,-7.64,-1.994%,32254642736.00,United States,1996,427095,Technology,Computer Software: Prepackaged Software
API,Agora Inc. American Depositary Shares,$73.23,-5.72,-7.245%,29064835341.00,China,2020,3957552,Technology,Computer Software: Prepackaged Software
APPN,Appian Corporation Class A Common Stock,$180.99,-7.51,-3.984%,12795279899.00,United States,2017,1652334,Technology,Computer Software: Prepackaged Software
ASML,ASML Holding N.V. New York Registry Shares,$576.07,-2.43,-0.42%,239941239566.00,Netherlands,1995,1004841,Technology,Industrial Machinery/Components
ASX,ASE Technology Holding Co. Ltd. American Depositary Shares (each representing Two Common Shares) ,$7.82,-0.12,-1.511%,16725941825.00,,2018,3445059,Technology,Semiconductors
ATVI,Activision Blizzard Inc. Common Stock,$96.42,-0.16,-0.166%,74518889778.00,United States,,6238398,Technology,Computer Software: Prepackaged Software
AVGO,Broadcom Inc. Common Stock,$471.90,-4.46,-0.936%,192642013149.00,United States,2009,2130608,Technology,Semiconductors
AVLR,Avalara Inc. Common Stock,$163.62,-2.98,-1.789%,13837485913.00,United States,2018,865313,Technology,Computer Software: Prepackaged Software
AZPN,Aspen Technology Inc. Common Stock,$153.50,0.36,0.235%,10412891698.00,United States,1994,328207,Technology,EDP Services
BIDU,Baidu Inc. ADS,$322.61,-13.18,-3.925%,110034412220.00,China,2005,16835386,Technology,Computer Software: Programming Data Processing
BILI,Bilibili Inc. American Depositary Shares,$129.26,0.15,0.116%,44649874760.00,China,2018,9044201,Technology,EDP Services
BILL,Bill.com Holdings Inc. Common Stock,$171.95,-1.06,-0.613%,14148418272.00,,2019,1301185,Technology,Computer Software: Prepackaged Software
BKI,Black Knight Inc. Common Stock ,$77.24,-1.00,-1.278%,12128943982.00,,2017,1343575,Technology,Computer Software: Prepackaged Software
BSY,Bentley Systems Incorporated Class B Common Stock,$48.03,1.99,4.322%,13043986343.00,United States,2020,815927,Technology,Computer Software: Prepackaged Software
CDAY,Ceridian HCM Holding Inc. Common Stock,$92.28,-1.02,-1.093%,13639261117.00,United States,2018,1317769,Technology,Computer Software: Prepackaged Software
CDNS,Cadence Design Systems Inc. Common Stock,$132.60,-0.56,-0.421%,36986250600.00,United States,,3075992,Technology,Computer Software: Prepackaged Software
CERN,Cerner Corporation Common Stock,$70.07,-0.84,-1.185%,21462042232.00,United States,1986,5757371,Technology,EDP Services
CHKP,Check Point Software Technologies Ltd. Ordinary Shares,$114.03,-1.91,-1.647%,15987016491.00,Israel,1996,1917281,Technology,Computer Software: Prepackaged Software
CLVT,Clarivate Plc Ordinary Shares,$29.10,-0.23,-0.784%,17633340290.00,,2019,1077637,Technology,EDP Services
COUP,Coupa Software Incorporated Common Stock,$339.58,-4.47,-1.299%,24509592638.00,United States,2016,1245167,Technology,Computer Software: Prepackaged Software
CREE,Cree Inc. Common Stock,$117.92,0.82,0.70%,13588931821.00,United States,1993,2905799,Technology,Semiconductors
